,Season,Date,HID,AID,Open,OddsH,OddsA,OddsD,H,A,D,HS,AS,Special,H_PEN,A_PEN,H_MAJ,A_MAJ,H_PPG,A_PPG,H_SHG,A_SHG,H_SV,A_SV,H_PIM,A_PIM,H_SOG,A_SOG,H_BLK_S,A_BLK_S,H_HIT,A_HIT,H_BLK,A_BLK,H_FO,A_FO,H_P1,A_P1,H_P2,A_P2,H_P3,A_P3,H_OT,A_OT,H_SO,A_SO
0,1989,1989-09-19,5,12,2019-09-18,0.0,0.0,0,True,False,False,4,2,,5,5,0,0,2,1,0,0,26,30,10,10,,,,,,,,,,,0,1,2,0,2,1,,,,
1,1989,1989-09-19,15,13,2019-09-18,0.0,0.0,0,False,True,False,1,3,,4,7,0,0,1,1,0,0,28,23,8,14,,,,,,,,,,,0,1,0,1,1,1,,,,
2,1989,1989-09-19,19,4,2019-09-18,0.0,0.0,0,True,False,False,7,3,,1,3,0,0,0,0,0,1,26,31,2,6,,,,,,,,,,,0,2,2,1,5,0,,,,
3,1989,1989-09-19,16,3,2019-09-18,0.0,0.0,0,True,False,False,6,3,,3,5,0,0,0,0,0,1,26,40,6,10,,,,,,,,,,,1,1,2,2,3,0,,,,
4,1989,1989-09-19,0,24,2019-09-18,0.0,0.0,0,False,True,False,2,3,,2,3,0,0,0,0,0,0,38,25,4,6,,,,,,,,,,,1,2,1,0,0,1,,,,
5,1989,1989-09-19,22,10,2019-09-18,0.0,0.0,0,True,False,False,3,1,,5,7,0,1,1,0,0,0,28,34,10,34,,,,,,,,,,,1,0,1,0,1,1,,,,
6,1989,1989-09-22,24,15,2019-09-18,0.0,0.0,0,True,False,False,6,2,,6,5,0,0,0,1,1,0,23,38,12,10,,,,,,,,,,,1,1,3,1,2,0,,,,
7,1989,1989-09-22,3,5,2019-09-18,0.0,0.0,0,False,True,False,3,5,,8,9,0,0,0,1,0,0,,,16,18,,,,,,,,,,,1,2,2,1,0,2,,,,
8,1989,1989-09-22,22,0,2019-09-18,0.0,0.0,0,True,False,False,3,1,,2,3,0,0,2,0,0,0,25,25,4,6,,,,,,,,,,,1,0,1,0,1,1,,,,
9,1989,1989-09-22,13,16,2019-09-18,0.0,0.0,0,True,False,False,2,0,,11,9,0,1,0,0,0,0,34,23,22,23,,,,,,,,,,,1,0,1,0,0,0,,,,
